"","muni","county","year","area","pop","whitepct","blackpct","aapipct","otherpct","hispanicpct","households","medinc","povpct","lmi","dcamri","dcamrirank","ciprops","totunits","occunits","occpct","ownoct","rentoct","less75own","builtpost2010","built2000_2009","built1990_1999","built1980_1989","built1970_1979","built1960_1969","built1950_1959","built1940_1949","built_pre1939","singledetatched","singleattatched","duplex","triquadplex","units5_9","units10_19","units20more","mobile","boatrv","gas","elec","bottled_tank","fueloil","wood","otherfuels","workers","automobile","transit","taxi","moto","bike","walk","othertransport","workedhome","elecutil","reselec","commelec","induselec","streetelec","totelec","gasutil","resgas","commgas","indusgas","streetgas","totgas","reselecghg","commelecghg","induselecghg","streetelecghg","resgasghg","commgasghg","indusgasghg","streetgasghg","otherheatghg","vehiclesghg","totghg","mpo","lhtruck","shtruck","icbus","lightcommtruck","motorhome","motorcycles","passcars","passtrucks","refusetrucks","schoolbus","sulhtruck","sushtruck","transbus","totvmt","totpass","evs","pctev","commsolar","ressolar","othersolar","totsolar","kwsolar","units4less","totalproj","lifetimerate","commparcels","totalcommproj","lifetimecommrate"
"36","berlin borough","Camden",2020,3.6,7543,0.85,0.09,0.01,0.05,0.06,2889,96065,0.03,0,24,301,171,2936,2889,0.98,0.84,0.16,0,16,459,418,76,546,413,524,154,330,2097,336,34,388,56,0,25,0,0,0.83,0.11,0,0.04,0,0.01,3915,0.89,0.03,0,0,0,0.01,0,0.06,"ACE",38732969,38558931,71258075,368655,148918630,"SJG",2466146,2147024,37504,0,4650674,8649,8610,15912,82,13135,11435,200,0,620,34711,93354,"DVRPC","1455797.00","610204.00","411344.00","3110316.00","142617.00","605287.00","25497724.00","31388809.00","234476.00","451788.00","996608.00","1543639.00","185790.00","66634400.00",4957,"20","0.004",21,379,4,404,8761.83,2886,207,0.07,169,9,"0.05"
"37","berlin township","Camden",2020,3.3,5647,0.65,0.14,0.06,0.15,0.13,2068,75985,0.07,0,40,95,411,2223,2068,0.93,0.72,0.28,0,120,168,101,256,494,581,328,79,96,1728,122,59,38,42,185,49,0,0,0.84,0.11,0,0.06,0,0,3054,0.88,0.04,0.01,0,0,0.02,0.01,0.04,"ACE",24369421,19821970,1188402,217838,45597631,"SJG",1229278,2424204,3628,0,3657109,5442,4426,265,49,6547,12912,19,0,606,37450,67717,"DVRPC","1570684.00","658360.00","443806.00","3355771.00","153872.00","653054.00","27509916.00","33865904.00","252980.00","487442.00","1075257.00","1665458.00","200452.00","71892955.00",3773,"12","0.0032",16,181,1,198,3660.15,1967,161,0.08,409,8,"0.02"
"38","bernards township","Somerset",2020,24.3,27114,0.72,0.02,0.22,0.03,0.07,9684,151973,0.04,0,13,515,163,10032,9684,0.97,0.83,0.17,0,254,688,2546,2936,755,1201,849,158,645,5803,1911,50,658,695,529,361,25,0,0.84,0.1,0.01,0.04,0,0.01,12408,0.79,0.07,0,0,0,0.01,0.01,0.13,"JCPL",116048774,118894823,5011545,158076,240113218,"PSEG",10750280,5410664,43673,0,16204617,25914,26549,1119,35,57258,28818,233,0,2429,137445,279799,"NJTPA","18268718.00","4558633.00","1079597.00","10609033.00","389379.00","2072180.00","200800968.00","34648069.00","614938.00","1366593.00","2412374.00","5906098.00","836133.00","283562713.00",18377,"294","0.016",9,99,10,109,4885.57,8430,112,0.01,167,41,"0.25"
"39","bernardsville borough","Somerset",2020,12.9,7641,0.9,0,0.05,0.05,0.12,2524,161655,0.04,0,11,526,193,2691,2524,0.94,0.87,0.13,0,53,125,218,345,121,482,389,247,711,2269,130,116,33,19,47,77,0,0,0.7,0.11,0,0.18,0,0.01,3788,0.74,0.05,0,0,0,0.06,0,0.14,"JCPL",45494525,24045248,13688470,210552,83438795,"PSEG",3746546,946382,306393,0,4999321,10159,5369,3057,47,19955,5041,1632,0,2404,34946,82610,"NJTPA","4476522.00","1117036.00","264542.00","2599611.00","95413.00","507762.00","49203778.00","8490078.00","150683.00","334867.00","591122.00","1447216.00","204884.00","69483514.00",5260,"84","0.016",4,28,2,34,4393.08,2681,45,0.02,186,22,"0.12"
"40","bethlehem township","Hunterdon",2020,20.8,3864,0.95,0,0.02,0.03,0.04,1448,139306,0.03,0,14,493,34,1562,1448,0.93,0.94,0.06,0,0,240,329,192,335,53,96,11,306,1546,16,0,0,0,0,0,0,0,0.02,0.07,0.3,0.53,0.07,0.01,2118,0.87,0,0,0.01,0,0,0,0.12,"JCPL",18310856,2658285,5564694,13824,26547659,"ETG",88958,0,0,0,88958,4089,594,1243,3,474,0,0,0,11388,18849,36639,"NJTPA","3322676.00","829115.00","196355.00","1929549.00","70819.00","376884.00","36521258.00","6301718.00","111844.00","248553.00","438757.00","1074189.00","152074.00","51573791.00",3349,"17","0.0051",NA,4,0,4,43.41,1611,15,0.01,33,5,"0.15"
"41","beverly city","Burlington",2020,0.8,2425,0.59,0.24,0,0.16,0.12,822,78611,0.13,0,57,28,65,1062,822,0.77,0.73,0.27,0,5,32,69,68,44,3,288,55,498,643,172,50,154,24,0,19,0,0,0.66,0.2,0,0.13,0,0.01,1147,0.88,0.06,0,0,0.01,0,0,0.04,"PSEG",8003742,1803950,35247,226507,10069446,"PSEG",687125,89950,6727,0,783802,1787,403,8,51,3660,479,36,0,575,5742,12740,"DVRPC","240809.00","100936.00","68042.00","514490.00","23591.00","100123.00","4217683.00","5192152.00","38786.00","74732.00","164853.00","255340.00","30732.00","11022270.00",1449,"3","0.0021",NA,NA,NA,NA,NA,1106,71,0.06,57,4,"0.07"
"42","blairstown township","Warren",2020,30.8,5727,0.95,0.01,0.01,0.03,0.04,2092,107439,0.05,0,23,341,129,2411,2092,0.87,0.93,0.08,0,9,206,455,461,559,343,87,0,291,2158,55,127,51,20,0,0,0,0,0.08,0.16,0.08,0.65,0.02,0,2520,0.88,0,0,0,0,0.02,0,0.09,"JCPL",28403307,13775966,1140216,52416,43371905,"ETG",0,0,0,0,0,6342,3076,255,12,0,0,0,0,10831,21559,42075,"NJTPA","3066313.00","765144.00","181205.00","1780673.00","65355.00","347805.00","33703437.00","5815505.00","103214.00","229376.00","404905.00","991309.00","140341.00","47594582.00",4599,"19","0.0041",2,129,13,144,3859.93,2436,48,0.02,128,11,"0.09"
"43","bloomfield township","Essex",2020,5.4,49733,0.59,0.21,0.09,0.12,0.29,18965,81978,0.07,0,30,206,706,19912,18965,0.95,0.52,0.48,0,1137,449,499,850,1458,1971,2837,2422,8289,8446,700,2952,2568,548,1142,3556,0,0,0.79,0.1,0.02,0.09,0,0.01,26539,0.73,0.16,0,0,0,0.02,0,0.08,"PSEG",123275028,92466353,4127291,4162342,224031014,"PSEG",12774892,6308365,139436,2763,19225456,27527,20648,922,929,68041,33599,743,15,10212,135318,297954,"NJTPA","14607133.00","3644951.00","863214.00","8482675.00","311336.00","1656855.00","160554603.00","27703586.00","491686.00","1092688.00","1928865.00","4722344.00","668547.00","226728483.00",28742,"156","0.0054",7,540,2,549,4433.07,14545,1129,0.08,714,50,"0.07"
"44","bloomingdale borough","Passaic",2020,9.2,8080,0.89,0.05,0.05,0.02,0.19,2911,97386,0.16,0,28,235,109,3010,2911,0.97,0.68,0.33,0,259,28,143,170,307,339,896,211,657,2066,134,265,25,107,128,285,0,0,0.74,0.1,0.02,0.07,0.04,0.03,3941,0.88,0.03,0.01,0,0,0,0.02,0.05,"JCPL",175673,0,0,0,175673,"PSEG",2158695,386709,15204,0,2560608,39,0,0,0,11498,2060,81,0,7822,30785,52284,"NJTPA","3897070.00","972444.00","230299.00","2263111.00","83062.00","442036.00","42834720.00","7391101.00","131178.00","291521.00","514606.00","1259884.00","178363.00","60489395.00",5248,"20","0.0038",NA,9,0,9,51.11,2510,87,0.03,109,5,"0.05"
"45","bloomsbury borough","Hunterdon",2020,1,786,0.92,0.04,0.01,0.02,0.01,360,75333,0.07,0,29,231,21,405,360,0.89,0.68,0.33,0,0,0,33,31,23,24,87,35,172,271,74,42,15,1,0,0,2,0,0.17,0.06,0.05,0.72,0,0,378,0.92,0.02,0,0,0,0,0,0.06,"JCPL",3630511,2982059,583631,35844,7232045,"ETG",107681,37759,0,0,145440,811,666,130,8,574,201,0,0,1430,3431,7250,"NJTPA","747658.00","186565.00","44183.00","434181.00","15936.00","84805.00","8217899.00","1417993.00","25167.00","55929.00","98728.00","241711.00","34219.00","11604974.00",709,"4","0.0056",NA,39,2,41,465.53,340,4,0.01,21,2,"0.1"
"46","bogota borough","Bergen",2020,0.8,8375,0.68,0.13,0.07,0.12,0.47,2883,99107,0.04,0,28,245,106,2988,2883,0.97,0.73,0.27,0,0,5,59,31,177,268,165,647,1636,2002,153,523,40,40,104,116,10,0,0.79,0.06,0.07,0.06,0,0.01,4405,0.78,0.17,0,0,0,0.01,0.01,0.03,"PSEG",20403358,7831207,587344,393802,29215711,"PSEG",2162510,696250,33628,0,2892388,4556,1749,131,88,11518,3708,179,0,1786,16941,40655,"NJTPA","919060.00","232501.00","59134.00","837997.00","17318.00","133015.00","27714229.00","2890595.00","81420.00","82041.00","307833.00","754195.00","46817.00","34076155.00",4792,"27","0.0056",1,81,0,82,715.96,2617,140,0.05,105,27,"0.26"
"47","boonton town","Morris",2020,2.5,8510,0.74,0.06,0.1,0.1,0.17,3305,85211,0.06,0,26,276,228,3628,3305,0.91,0.58,0.42,0,8,172,138,198,242,653,788,260,1169,2045,244,753,211,142,114,119,0,0,0.7,0.07,0.03,0.19,0,0.01,4819,0.87,0.02,0,0,0,0.04,0,0.07,"JCPL",26167405,22873547,1533562,269460,50843974,"NJNG",2701248,1393925,0,0,4095173,5843,5108,342,60,14387,7424,0,0,3765,53780,90710,"NJTPA","6708425.00","1673968.00","396437.00","3895725.00","142984.00","760922.00","73735788.00","12723059.00","225810.00","501824.00","885844.00","2168768.00","307035.00","104126589.00",5615,"52","0.0093",1,143,3,147,1670.62,3168,206,0.07,224,25,"0.11"
"48","boonton township","Morris",2020,8.5,4275,0.88,0.01,0.1,0.01,0.03,1407,145050,0.02,0,15,471,18,1496,1407,0.94,0.93,0.07,0,40,84,283,273,251,188,150,73,154,1316,76,0,10,0,0,94,0,0,0.37,0.04,0.08,0.49,0.01,0.01,1996,0.82,0.05,0,0,0,0.01,0,0.12,"JCPL",22190886,12952997,10105493,756,45250132,"NJNG",734842,386912,0,0,1121754,4955,2892,2257,0,3914,2061,0,0,4992,15448,36518,"NJTPA","1944497.00","485215.00","114911.00","1129211.00","41445.00","220560.00","21372980.00","3687893.00","65453.00","145458.00","256770.00","628637.00","88997.00","30182027.00",3046,"23","0.0076",NA,NA,NA,NA,NA,1448,45,0.03,19,4,"0.21"
"49","bordentown city","Burlington",2020,1,3808,0.8,0.07,0.05,0.07,0.09,1694,82863,0.06,0,28,248,121,1944,1694,0.87,0.59,0.41,0,47,0,92,71,111,143,192,100,1188,686,418,227,243,90,134,146,0,0,0.72,0.15,0.01,0.1,0,0.02,2147,0.88,0.01,0,0.02,0,0.01,0.01,0.08,"PSEG",12673725,7533867,64421,243852,20515865,"PSEG",1027156,520906,6300,0,1554361,2830,1682,14,54,5471,2774,34,0,949,18437,32246,"DVRPC","773249.00","324111.00","218486.00","1652048.00","75751.00","321499.00","13543152.00","16672210.00","124542.00","239968.00","529350.00","819906.00","98683.00","35392955.00",2779,"19","0.0068",13,455,3,471,27945.49,1625,66,0.04,120,13,"0.11"
"50","bordentown township","Burlington",2020,9.3,12103,0.79,0.08,0.1,0.04,0.07,4473,96342,0.03,0,21,369,220,4671,4473,0.96,0.74,0.26,0,176,975,854,566,298,257,1231,175,139,2908,908,49,72,113,194,427,0,0,0.87,0.1,0,0.02,0,0.01,6005,0.93,0.01,0,0,0,0,0.01,0.05,"PSEG",36806227,53095771,3865890,787766,94555654,"PSEG",2744360,2139865,98554,0,4982779,8219,11856,863,176,14617,11397,525,0,1228,72011,120892,"DVRPC","3020189.00","1265927.00","853372.00","6452644.00","295873.00","1255725.00","52897442.00","65119055.00","486443.00","937277.00","2067557.00","3202425.00","385440.00","138239370.00",8691,"36","0.0041",1,27,0,28,4587.42,4282,168,0.04,227,11,"0.05"
"51","bound brook borough","Somerset",2020,1.7,10254,0.72,0.04,0.04,0.21,0.51,3582,70605,0.08,0,38,116,229,4067,3582,0.88,0.5,0.5,0,567,26,209,228,297,303,642,588,1207,1795,293,602,561,101,75,640,0,0,0.75,0.18,0,0.04,0,0.03,5545,0.8,0.05,0.01,0,0.01,0.04,0.03,0.06,"PSEG",27469123,21543167,2321395,811897,52145582,"PSEG",2611304,1208784,76337,0,3896426,6134,4811,518,181,13908,6438,407,0,714,50104,83215,"NJTPA","5894513.00","1470871.00","348338.00","3423069.00","125636.00","668601.00","64789651.00","11179409.00","198414.00","440940.00","778367.00","1905638.00","269783.00","91493230.00",5656,"24","0.0042",4,141,4,149,1177.83,3274,125,0.04,220,21,"0.1"
"52","bradley beach borough","Monmouth",2020,0.6,4175,0.87,0.04,0.03,0.05,0.19,1934,78452,0.09,0,33,174,104,2824,1934,0.69,0.45,0.55,1,115,273,72,236,380,180,383,313,872,1350,135,259,67,214,195,604,0,0,0.76,0.21,0.01,0.02,0,0,2339,0.73,0.06,0,0,0,0.03,0.02,0.17,"JCPL",16889442,7398599,123882,0,24411923,"NJNG",1455566,450377,0,0,1905943,3771,1652,28,0,7753,2399,0,0,275,12570,28447,"NJTPA","1577578.00","393656.00","93228.00","916133.00","33624.00","178941.00","17339976.00","2992001.00","53102.00","118011.00","208318.00","510015.00","72203.00","24486786.00",2751,"23","0.0084",1,50,3,54,382.43,2047,44,0.02,93,11,"0.12"
"53","branchburg township","Somerset",2020,20.3,14509,0.83,0.05,0.09,0.03,0.05,5413,146864,0.02,0,12,518,368,5492,5413,0.99,0.9,0.1,0,120,394,1496,1488,742,407,374,136,335,4217,561,110,52,97,143,124,188,0,0.85,0.05,0.02,0.06,0.01,0,8137,0.87,0.03,0,0,0,0,0,0.09,"PSEG/JCPL",58816849,188453840,58167228,108283,305546200,"PSEG",5138791,6879447,1052071,0,13070310,13134,42082,12989,24,27370,36641,5603,0,5533,107679,251055,"NJTPA","13987148.00","3490245.00","826576.00","8122635.00","298122.00","1586531.00","153740018.00","26527734.00","470818.00","1046310.00","1846995.00","4521907.00","640171.00","217105210.00",11119,"63","0.0057",24,148,9,181,18258.83,4897,112,0.02,333,25,"0.08"
"54","branchville borough","Sussex",2020,0.6,1054,0.97,0.03,0,0,0.03,394,96563,0.08,0,36,142,61,479,394,0.82,0.67,0.33,0,0,8,10,98,29,10,29,46,249,298,20,61,50,50,0,0,0,0,0.2,0.2,0.1,0.45,0.02,0.03,567,0.88,0,0,0,0,0.01,0.01,0.1,"JCPL",4019116,5055028,627,39684,9114455,"ETG",0,0,0,0,0,897,1129,0,9,0,0,0,0,1613,3699,7347,"NJTPA","597366.00","149062.00","35302.00","346903.00","12732.00","67758.00","6565955.00","1132951.00","20108.00","44686.00","78882.00","193122.00","27341.00","9272168.00",766,"2","0.0026",3,54,4,61,4710.87,368,35,0.1,54,1,"0.02"
"55","brick township","Ocean",2020,32.4,75793,0.89,0.04,0.02,0.06,0.1,30249,81330,0.06,0,27,257,809,33511,30249,0.9,0.81,0.19,0,928,1661,5051,6313,7773,4811,5013,972,989,26298,3674,233,367,561,542,1711,125,0,0.82,0.14,0.01,0.02,0,0.01,37287,0.89,0.02,0.01,0,0,0.02,0.01,0.06,"JCPL",295496332,153009746,16683530,3527546,468717154,"NJNG",19402922,4536776,0,0,23939698,65984,34167,3725,788,103343,24164,0,0,6009,250938,489118,"NJTPA","31552880.00","7873459.00","1864631.00","18323428.00","672516.00","3578974.00","346814094.00","59842530.00","1062093.00","2360316.00","4166540.00","10200734.00","1444127.00","489756322.00",55314,"181","0.0033",26,1857,16,1899,27842.26,30902,2696,0.09,809,38,"0.05"
"56","bridgeton city","Cumberland",2020,6.5,24264,0.42,0.35,0.01,0.22,0.5,6270,38319,0.34,1,84,5,445,7090,6270,0.88,0.36,0.64,0,81,648,596,185,1007,970,1079,861,1663,2720,2124,705,363,367,147,661,3,0,0.66,0.07,0.01,0.26,0,0,7922,0.85,0.04,0.01,0,0,0.03,0.04,0.04,"ACE",114219742,151053392,71362564,1010615,337646313,"SJG",2991417,6634897,36936939,0,46563253,25505,33730,15935,226,15933,35338,196731,0,8799,29033,361231,"SJTPO","761980.00","693971.00","1060295.00","3226860.00","27822.00","634477.00","20836477.00","25182089.00","52861.00","611038.00","755775.00","1642059.00","248001.00","55733676.00",7756,"21","0.0027",NA,NA,NA,NA,NA,6139,2399,0.39,438,17,"0.04"
"57","bridgewater township","Somerset",2020,32.4,44379,0.68,0.03,0.24,0.06,0.09,15277,138087,0.03,0,17,441,460,15910,15277,0.96,0.84,0.16,0,378,772,4353,2467,1647,3277,1762,474,780,11151,1941,161,528,715,506,899,9,0,0.86,0.09,0.01,0.03,0,0.01,22218,0.87,0.03,0,0,0,0,0,0.09,"PSEG/JCPL",152105517,345349011,60917782,3161751,561534061,"PSEG",14642528,11488388,7925928,0,34056843,33965,77117,13603,706,77988,61189,42215,0,5711,277551,590045,"NJTPA","33144894.00","8270719.00","1958710.00","19247945.00","706450.00","3759552.00","364312751.00","62861911.00","1115681.00","2479406.00","4376765.00","10715420.00","1516993.00","514467197.00",30647,"340","0.0111",46,559,27,632,24428,13766,639,0.05,466,64,"0.14"
"58","brielle borough","Monmouth",2020,2.3,4683,0.98,0.01,0,0.01,0.02,1684,149015,0.01,0,13,513,84,1981,1684,0.85,0.92,0.08,0,125,117,287,256,312,277,270,101,236,1571,276,11,72,0,51,0,0,0,0.91,0.06,0,0.03,0,0,2184,0.88,0.01,0,0,0,0.01,0,0.1,"JCPL",26558818,6791371,0,179898,33530087,"NJNG",21859132,5735122,0,0,27594254,5931,1517,0,40,116425,30546,0,0,253,15804,170515,"NJTPA","2030956.00","506789.00","120020.00","1179419.00","43288.00","230367.00","22323290.00","3851868.00","68363.00","151926.00","268187.00","656588.00","92954.00","31524015.00",3293,"30","0.0091",2,61,1,64,785.56,2017,150,0.07,86,6,"0.07"
"59","brigantine city","Atlantic",2020,10.7,8725,0.87,0.01,0.06,0.06,0.08,4151,75329,0.1,0,31,201,112,9472,4151,0.44,0.71,0.29,1,404,889,564,2678,1206,1242,1627,346,516,4734,1556,972,602,190,493,925,0,0,0.76,0.2,0,0.01,0,0.02,4230,0.83,0.05,0,0,0.01,0,0.01,0.11,"ACE",57919246,16803520,5969,628998,75357733,"SJG",3568762,2081999,0,0,5650761,12933,3752,1,140,19008,11089,0,0,859,11094,58877,"SJTPO","470912.00","232128.00","148626.00","1266464.00","6137.00","165231.00","8602735.00","9454003.00","17593.00","71549.00","274462.00","521010.00","66340.00","21297192.00",6590,"34","0.0052",3,362,3,368,3363.69,7819,99,0.01,114,14,"0.12"
"60","brooklawn borough","Camden",2020,0.5,1888,0.81,0.1,0.04,0.05,0.09,813,44805,0.07,1,45,59,68,942,813,0.86,0.82,0.18,0,0,5,6,8,14,61,141,120,587,523,348,8,51,12,0,0,0,0,0.86,0.03,0,0.1,0,0,789,0.86,0.04,0,0.01,0,0.07,0.01,0.01,"PSEG",5517468,8740991,36120,196474,14491053,"PSEG",427997,295119,2720,0,725836,1232,1952,8,44,2280,1572,14,0,451,8114,15667,"DVRPC","340297.00","142637.00","96153.00","727046.00","33337.00","141488.00","5960177.00","7337237.00","54810.00","105607.00","232960.00","360831.00","43429.00","15576010.00",1226,"3","0.0024",2,39,0,41,1305.04,776,64,0.08,68,6,"0.09"
"61","buena borough","Atlantic",2020,7.6,4323,0.72,0.07,0.1,0.11,0.24,1632,61914,0.06,1,50,47,99,1777,1632,0.92,0.59,0.41,0,89,179,158,230,266,149,252,106,348,1233,44,77,91,0,144,188,0,0,0.59,0.23,0,0.16,0,0.01,2190,0.92,0.01,0,0,0,0.01,0.01,0.04,"ACE",13150015,3939744,424803,210029,17724591,"SJG",1034123,568905,194561,0,1797588,2936,880,95,47,5508,3030,1036,0,1418,32103,47054,"SJTPO","1362700.00","671720.00","430087.00","3664827.00","17760.00","478138.00","24894142.00","27357497.00","50909.00","207046.00","794223.00","1507672.00","191971.00","61628697.00",2957,"5","0.0017",5,109,1,115,1172.11,1510,283,0.19,98,11,"0.11"
"62","buena vista township","Atlantic",2020,41.6,7269,0.82,0.08,0.03,0.06,0.15,2775,66268,0.07,1,47,51,106,3092,2775,0.9,0.79,0.21,0,34,177,140,290,448,962,726,43,272,2730,66,0,0,14,47,0,235,0,0.65,0.13,0.01,0.17,0.03,0.02,3346,0.92,0.02,0.01,0.01,0,0.01,0,0.03,"ACE",33355594,18420660,20353280,152698,72282232,"SJG",1252180,326897,101776,0,1680853,7448,4113,4545,34,6669,1741,542,0,6692,22882,54668,"SJTPO","971289.00","478781.00","306552.00","2612173.00","12659.00","340801.00","17743756.00","19499557.00","36286.00","147576.00","566097.00","1074621.00","136831.00","43926982.00",5471,"19","0.0035",14,277,2,293,12629.25,2682,357,0.13,109,13,"0.12"
"63","burlington city","Burlington",2020,3.8,9845,0.56,0.31,0.02,0.12,0.14,3712,65688,0.16,1,44,70,302,4131,3712,0.9,0.66,0.34,0,93,109,293,189,357,296,643,241,1910,2052,1166,249,134,179,73,269,9,0,0.74,0.17,0.02,0.06,0,0.01,4684,0.91,0.04,0,0,0,0.02,0,0.02,"PSEG",29894507,30156971,19106447,2069146,81227071,"PSEG",2558025,1246587,28782,0,3833394,6675,6734,4266,462,13624,6640,153,0,1562,39136,79254,"DVRPC","1641392.00","687997.00","463785.00","3506840.00","160799.00","682453.00","28748349.00","35390469.00","264369.00","509385.00","1123662.00","1740433.00","209476.00","75129410.00",6107,"35","0.0057",29,705,6,740,28962.69,3769,524,0.14,291,23,"0.08"
"64","burlington township","Burlington",2020,14.1,22600,0.5,0.34,0.09,0.07,0.08,8642,80972,0.07,0,27,254,255,9074,8642,0.95,0.78,0.22,0,492,903,3162,557,715,1085,1031,548,581,5891,1208,116,250,147,658,804,0,0,0.75,0.22,0.01,0.02,0,0.01,11930,0.87,0.04,0,0,0,0.01,0.02,0.06,"PSEG",71141020,94252137,4648904,1215815,171257876,"PSEG",5607920,7650310,9270158,0,22528388,15886,21047,1038,271,29869,40747,49374,0,1023,147359,306614,"DVRPC","6180328.00","2590514.00","1746288.00","13204291.00","605457.00","2569638.00","108246051.00","133255603.00","995427.00","1917986.00","4230921.00","6553245.00","788740.00","282884490.00",15220,"58","0.0038",2,179,0,181,1996.71,7110,1010,0.14,268,16,"0.06"
"65","butler borough","Morris",2020,2.1,7669,0.85,0.01,0.08,0.06,0.21,3264,99519,0.06,0,22,355,167,3346,3264,0.98,0.66,0.34,0,84,310,321,177,417,378,637,214,808,1942,195,360,123,124,270,324,8,0,0.82,0.13,0.01,0.03,0,0,4555,0.86,0.06,0,0,0,0.03,0,0.05,"MEU/JCPL",12085,250080,911698,0,1173863,"PSEG",2544946,877783,207009,0,3629738,3,56,204,0,13555,4675,1103,0,1160,37062,57817,"NJTPA","4893985.00","1221207.00","289212.00","2842042.00","104311.00","555114.00","53792340.00","9281831.00","164735.00","366095.00","646248.00","1582178.00","223991.00","75963289.00",5730,"48","0.0084",1,4,1,6,78.67,2591,97,0.04,166,15,"0.09"
"66","byram township","Sussex",2020,22.7,7944,0.92,0.01,0.03,0.04,0.08,2988,109457,0.03,0,20,388,122,3298,2988,0.91,0.95,0.05,0,36,160,243,323,949,561,417,190,419,3224,30,6,0,22,0,0,16,0,0.03,0.11,0.16,0.64,0.03,0.02,4433,0.89,0.03,0,0,0,0,0,0.07,"JCPL",35964148,12575684,320081,101964,48961877,"ETG",0,0,0,0,0,8031,2808,71,23,0,0,0,0,17472,19710,48116,"NJTPA","4270800.00","1065703.00","252385.00","2480144.00","91027.00","484427.00","46942587.00","8099911.00","143758.00","319478.00","563957.00","1380708.00","195469.00","66290354.00",6326,"26","0.0041",5,9,0,14,182.96,3200,26,0.01,118,16,"0.14"
"67","caldwell borough","Essex",2020,1.2,7970,0.78,0.04,0.12,0.05,0.11,3163,105102,0.06,0,23,335,191,3381,3163,0.94,0.46,0.55,0,81,69,237,335,223,456,539,295,1146,1154,118,404,277,225,330,861,12,0,0.8,0.12,0,0.05,0,0.03,4360,0.8,0.06,0,0,0,0.06,0,0.09,"PSEG",22066922,21956811,76891,612647,44713271,"PSEG",2266946,1772979,9016,0,4048941,4928,4903,17,137,12074,9443,48,0,822,30893,63265,"NJTPA","3565905.00","889808.00","210729.00","2070797.00","76004.00","404472.00","39194712.00","6763020.00","120030.00","266748.00","470876.00","1152822.00","163206.00","55349129.00",5256,"53","0.0101",1,45,8,54,1541.46,1995,31,0.02,186,24,"0.13"
"68","califon borough","Hunterdon",2020,1,1184,0.97,0,0.01,0.02,0.01,481,100750,0.05,0,17,437,30,484,481,0.99,0.83,0.18,0,2,5,53,49,90,53,62,9,161,435,6,13,24,6,0,0,0,0,0.37,0.12,0.02,0.43,0.04,0.02,652,0.86,0.02,0,0,0,0.03,0,0.09,"JCPL",4739121,3651784,76971,44520,8512396,"ETG",271103,197900,0,0,469002,1058,815,17,10,1444,1054,0,0,2186,4038,10622,"NJTPA","492188.00","122817.00","29086.00","285824.00","10490.00","55828.00","5409891.00","933473.00","16567.00","36818.00","64993.00","159119.00","22527.00","7639621.00",923,"9","0.0098",2,85,3,90,1028.31,428,15,0.04,30,4,"0.13"
"69","camden city","Camden",2020,10.5,73742,0.21,0.43,0.02,0.35,0.51,25411,28623,0.34,1,100,1,1885,29242,25411,0.87,0.4,0.6,0,686,1687,1121,1021,2131,2790,4056,3687,12063,3776,16501,2313,922,900,1136,3477,193,24,0.68,0.22,0.02,0.05,0,0.02,25241,0.76,0.13,0.02,0,0,0.05,0.02,0.02,"PSEG",162633958,350573599,95150732,11048319,619406608,"PSEG",14285494,18370254,15544824,0,48200572,36316,78283,21247,2467,76087,97843,82794,0,9800,234194,639031,"DVRPC","9822222.00","4117032.00","2775326.00","20985209.00","962236.00","4083853.00","172032401.00","211779378.00","1582004.00","3048202.00","6724083.00","10414887.00","1253522.00","449580355.00",25563,"14","0.0005",21,122,7,150,14703.45,23579,7298,0.31,1968,149,"0.08"
"70","cape may city","Cape May",2020,2.9,3446,0.84,0.04,0,0.13,0.18,1401,64330,0.06,1,41,87,256,4141,1401,0.34,0.55,0.45,1,44,248,278,817,909,248,315,168,1114,1863,1441,157,249,168,64,199,0,0,0.75,0.22,0,0.01,0,0.02,1798,0.61,0.01,0,0,0.04,0.29,0.02,0.04,"ACE",31399800,44269020,242689,390722,76302231,"SJG",1536500,1041271,0,0,2577770,7012,9885,54,87,8184,5546,0,0,100,5686,36554,"SJTPO","175670.00","106417.00","68729.00","686018.00","6319.00","116859.00","3818410.00","5284353.00","11140.00","27856.00","246595.00","337628.00","29164.00","10915157.00",1971,"32","0.0162",13,494,9,516,6652.05,3725,334,0.09,257,21,"0.08"
