muni,county,year,elecutil,reselec,commelec,induselec,streetelec,totelec,gasutil
Berlin borough,Camden,2017,ACE,38070789.00,43188994.00,9158541.00,358403.00,90776727.00,SJG
Berlin borough,Camden,2018,ACE,40317981.00,43529687.00,37652072.00,368654.00,121868394.00,SJG
Berlin borough,Camden,2019,ACE,38263178.00,41369566.00,73413062.00,368887.00,153414693.00,SJG
Berlin borough,Camden,2020,ACE,38732969.00,38558931.00,71258075.00,368655.00,148918630.00,SJG
Berlin borough,Camden,2021,ACE,39621541.00,39813249.00,83022389.00,368537.00,162825716.00,SJG
Berlin township,Camden,2015,ACE,25968780.00,27270962.00,1479520.00,205820.00,54925082.00,SJG
Berlin township,Camden,2016,ACE,24961810.00,25430688.00,1410409.00,210119.00,52013026.00,SJG
Berlin township,Camden,2017,ACE,23443912.00,24971762.00,1512996.00,211390.00,50140060.00,SJG
Berlin township,Camden,2018,ACE,24590830.00,25227704.00,1451195.00,214047.00,51483776.00,SJG
Berlin township,Camden,2019,ACE,23533704.00,22895571.00,1168281.00,216240.00,47813796.00,SJG
Berlin township,Camden,2020,ACE,24369421.00,19821970.00,1188402.00,217838.00,45597631.00,SJG
Berlin township,Camden,2021,ACE,24683081.00,20294069.00,1008375.00,217839.00,46203364.00,SJG
Bernards township,Somerset,2015,JCPL,122053405.00,133802174.00,5433812.00,158076.00,261447467.00,PSEG
Bernards township,Somerset,2016,JCPL,307.00,NDA,NDA,NDA,NDA,PSEG
